id_ext_link,id_source,source,url,rating,normalized_rating,reviews_nr,normalized_reviews,last_refresh,id_outlet_info
7827413870641041,1-CYWYT74KTADYGN,Grab,1-CYWYT74KTADYGN,4.1,3,75,5,2020-06-26,7500900348737748
6649984681520787,1-CZDEVYUHTKJCLJ,Grab,1-CZDEVYUHTKJCLJ,4.7,9,10,2,2020-06-26,903735492737918
1790263859671160,1-CYV1R8MYWBVTG6,Grab,1-CYV1R8MYWBVTG6,3.8,2,46,4,2020-06-26,9767224992993417
9587844437473413,1-CZEJRAUDLJM1TN,Grab,1-CZEJRAUDLJM1TN,0.0,1,0,0,2020-06-26,8656594851958981
8364681532839483,1-CY53HABCRTDJBA,Grab,1-CY53HABCRTDJBA,4.5,8,43,4,2020-06-26,4467160437680844
8541434472925415,1-CZDJHGA1MCEXN6,Grab,1-CZDJHGA1MCEXN6,4.3,5,17,3,2020-06-26,1664145100266033
5600006972627848,1-CY2GRJA2EX6UL6,Grab,1-CY2GRJA2EX6UL6,4.6,9,119,6,2020-06-26,4251459089610625
2059849697156772,1-CZDJMCDYJFCWGJ,Grab,1-CZDJMCDYJFCWGJ,5.0,10,12,2,2020-06-26,7397172137834696
2172695213166448,MYDD07700,Grab,MYDD07700,4.2,4,1848,10,2020-06-26,5285348017356023
7688398797235270,1-CYUFRTTXJE2FJT,Grab,1-CYUFRTTXJE2FJT,4.4,7,620,9,2020-06-26,771760594609680
6950783841694092,MYDD08958,Grab,MYDD08958,4.4,7,445,9,2020-06-26,5867560623322652
1169165520128510,1-CYXYR7EAAAAXNN,Grab,1-CYXYR7EAAAAXNN,4.4,7,499,9,2020-06-26,5177219007975963
5883969667607464,1-CZAYAP6GLUUANN,Grab,1-CZAYAP6GLUUANN,4.4,7,187,7,2020-06-26,3043200820165156
2443676421392897,1-CYLZRXEJEU6CVE,Grab,1-CYLZRXEJEU6CVE,4.3,5,2220,10,2020-06-26,8469485953286312
4851634561313569,1-CY4YEFADNKTEUE,Grab,1-CY4YEFADNKTEUE,4.2,4,355,8,2020-06-26,5076208355173817
2415523820781406,1-CYUUNUT2BBDULE,Grab,1-CYUUNUT2BBDULE,4.4,7,526,9,2020-06-26,4365110353775083
5735725633415191,1-CZBHR6LVG3ACVN,Grab,1-CZBHR6LVG3ACVN,4.6,9,151,6,2020-06-26,273846583670783
3430362764952005,MYDD12056,Grab,MYDD12056,4.2,4,395,8,2020-06-26,424946810321451
7783537468215511,1-CYMJPFEYVAV3J2,Grab,1-CYMJPFEYVAV3J2,4.3,5,391,8,2020-06-26,9885872502619679
9907683972750527,1-CYXBRTDHL65EE2,Grab,1-CYXBRTDHL65EE2,4.6,9,290,8,2020-06-26,6122876351482096
645648105082494,1-CYWENXD1AAT1KE,Grab,1-CYWENXD1AAT1KE,4.5,8,478,9,2020-06-26,1019060521631828
6007263928254558,1-CY23EPUCHA4TWA,Grab,1-CY23EPUCHA4TWA,4.5,8,369,8,2020-06-26,9820041146727309
4351547460686468,MYDD11112,Grab,MYDD11112,4.4,7,826,10,2020-06-26,6757465262580671
6472529134232889,1-CZC1FB6JEU6YJT,Grab,1-CZC1FB6JEU6YJT,4.5,8,46,4,2020-06-26,5314222399264263
